conversation_id,speaker_role,agent_claimed_identity,agent_question_type,agent_utterance,customer_utterance,customer_response_type,relationship_detected,relationship_keywords,sensitive_info_requested,sensitive_info_revealed,risk_label
1,agent_to_customer,bank_agent,aadhaar,Please tell me your aadhaar,My aadhaar is shared,reveal,no,,aadhaar,yes,high
2,agent_to_customer,bank_agent,aadhaar,Please tell me your aadhaar,I cannot share my aadhaar,deny,no,,aadhaar,no,low
3,agent_to_customer,telecom_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
4,agent_to_customer,telecom_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
5,agent_to_customer,relative,otp,Please tell me your otp,"You are my son, so here it is",reveal,yes,son,otp,yes,medium
6,agent_to_customer,relative,otp,Please tell me your otp,I cannot share my otp,deny,yes,son,otp,no,low
7,agent_to_customer,unknown,account_number,Please tell me your account number,My account number is shared,reveal,no,,account_number,yes,high
8,agent_to_customer,unknown,account_number,Please tell me your account number,I cannot share my account number,deny,no,,account_number,no,low
9,agent_to_customer,relative,login_password,Please tell me your login password,"You are my father, so here it is",reveal,yes,father,login_password,yes,medium
10,agent_to_customer,relative,login_password,Please tell me your login password,I cannot share my login password,deny,yes,father,login_password,no,low
11,agent_to_customer,relative,aadhaar,Please tell me your aadhaar,"You are my father, so here it is",reveal,yes,father,aadhaar,yes,medium
12,agent_to_customer,relative,aadhaar,Please tell me your aadhaar,I cannot share my aadhaar,deny,yes,father,aadhaar,no,low
13,agent_to_customer,telecom_agent,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
14,agent_to_customer,telecom_agent,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
15,agent_to_customer,unknown,pin,Please tell me your pin,My pin is shared,reveal,no,,pin,yes,high
16,agent_to_customer,unknown,pin,Please tell me your pin,I cannot share my pin,deny,no,,pin,no,low
17,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
18,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
19,agent_to_customer,relative,account_number,Please tell me your account number,"You are my friend, so here it is",reveal,yes,friend,account_number,yes,medium
20,agent_to_customer,relative,account_number,Please tell me your account number,I cannot share my account number,deny,yes,friend,account_number,no,low
21,agent_to_customer,bank_agent,aadhaar,Please tell me your aadhaar,My aadhaar is shared,reveal,no,,aadhaar,yes,high
22,agent_to_customer,bank_agent,aadhaar,Please tell me your aadhaar,I cannot share my aadhaar,deny,no,,aadhaar,no,low
23,agent_to_customer,bank_agent,pin,Please tell me your pin,My pin is shared,reveal,no,,pin,yes,high
24,agent_to_customer,bank_agent,pin,Please tell me your pin,I cannot share my pin,deny,no,,pin,no,low
25,agent_to_customer,unknown,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
26,agent_to_customer,unknown,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
27,agent_to_customer,bank_agent,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
28,agent_to_customer,bank_agent,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
29,agent_to_customer,unknown,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
30,agent_to_customer,unknown,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
31,agent_to_customer,relative,upi,Please tell me your upi,"You are my friend, so here it is",reveal,yes,friend,upi,yes,medium
32,agent_to_customer,relative,upi,Please tell me your upi,I cannot share my upi,deny,yes,friend,upi,no,low
33,agent_to_customer,relative,upi,Please tell me your upi,"You are my father, so here it is",reveal,yes,father,upi,yes,medium
34,agent_to_customer,relative,upi,Please tell me your upi,I cannot share my upi,deny,yes,father,upi,no,low
35,agent_to_customer,bank_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
36,agent_to_customer,bank_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
37,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
38,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
39,agent_to_customer,relative,aadhaar,Please tell me your aadhaar,"You are my friend, so here it is",reveal,yes,friend,aadhaar,yes,medium
40,agent_to_customer,relative,aadhaar,Please tell me your aadhaar,I cannot share my aadhaar,deny,yes,friend,aadhaar,no,low
41,agent_to_customer,bank_agent,login_password,Please tell me your login password,My login password is shared,reveal,no,,login_password,yes,high
42,agent_to_customer,bank_agent,login_password,Please tell me your login password,I cannot share my login password,deny,no,,login_password,no,low
43,agent_to_customer,bank_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
44,agent_to_customer,bank_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
45,agent_to_customer,bank_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
46,agent_to_customer,bank_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
47,agent_to_customer,relative,upi,Please tell me your upi,"You are my mother, so here it is",reveal,yes,mother,upi,yes,medium
